,PC1 loading,PC2 loading
No qualifications,-0.4705779610577454,-0.15530589615686693
Level 1 qualifications,-0.2553465612007656,-0.22369262851209212
Level 2 qualifications,-0.18866067464024056,0.056856896330416073
Apprenticeship,0.014507101019127805,0.35470030059456087
Level 3 qualifications,0.14688939645066165,0.7145185181962002
Level 4 qualifications,0.8080616757373231,-0.31354776436929976
Other qualifications,-0.05487297630836152,-0.4335294260829186
